code,name,molecule,sellingPrice,category
0004-0261,CellCept,"Soup - Campbells, Classic Chix",39,focus group
0904-7704,Aspir Low,Jack Daniels,78,collaboration
55316-179,healthy accents antacid,Pork Loin Cutlets,99,Total
36987-1979,Fusarium compactum,Butter Ripple - Phillips,64,project
61096-0004,Sprayology Diet Power,Glycerine,48,Future-proofed
33992-1100,Daytime Sinus Relief,Fish - Bones,30,content-based
0338-0129,Sodium Lactate,"Pork - Tenderloin, Frozen",92,Future-proofed
75847-1703,IASO FOR MEN WHITE EX 2-IN-1 FLUID SUPREME,Chivas Regal - 12 Year Old,24,attitude-oriented
65084-442,Lorazepam,Vinegar - Balsamic,40,client-server
21695-652,Lansoprazole,Foil Wrap,98,responsive
49614-448,The Medicine Shoppe Chest Congestion Relief,"Wine - White, Lindemans Bin 95",5,systemic
0224-1841,KONSYL Orange Flavor Psyllium Fiber - Original Texture,"Shrimp, Dried, Small / Lb",32,background
51079-810,Glipizide,Onions - White,100,moderator
44911-0074,Nausea Vomitting,Soup - Campbells Beef Stew,23,Adaptive
54868-4748,Prednisolone,Dried Apple,4,bottom-line
0574-0115,FLAVOXATE HYDROCHLORIDE,Butter - Pod,21,zero tolerance
0268-6558,PENICILLIUM CHRYSOGENUM VAR CHRYSOGENUM,Curry Paste - Madras,97,background
62257-364,Prevens,Kellogs All Bran Bars,61,algorithm
57520-0075,CV,Wine - Sauvignon Blanc,4,Persistent
43239-201,SUNSCREEN,Flour - Semolina,66,Cloned
